Origin/Destination,Munich,Stuttgart,Berlin,Frankfurt+am+Main,Hannover,Cologne,Potsdam,Bremen,Hamburg,Leipzig,Rostock,Saarbrucken,Halle+(Saale),Kiel,Erfurt,Mainz,Dusseldorf,Dortmund,Essen,Dresden,Nurnberg,Duisburg,Bochum,Wuppertal,Bielefeld,Bonn,Munster,Karlsruhe,Mannheim,Augsburg,Wiesbaden,Gelsenkirchen,Monchengladbach,Braunschweig,Chemnitz,Aachen,Magdeburg,Freiburg im Breisgau,Krefeld,Lubeck,Oberhausen,Kassel,Hagen,Hamm,Mulheim an der Ruhr,Ludwigshafen am Rhein,Oldenburg,Leverkusen,Osnabruck,Solingen,Heidelberg,Herne,Neuss,Darmstadt,Paderborn,Regensburg,Ingolstadt,Wurzburg,Furth,Wolfsburg,Offenbach am Main,Ulm,Heilbronn,Pforzheim,Gottingen,Bottrop,Trier,Recklinghausen,Reutlingen,Bremerhaven,Koblenz,Bergisch Gladbach,Jena,Remscheid,Erlangen,Moers,Siegen,Hildesheim,Salzgitter
Munich,0,232535,584532,392268,632316,573803,554489,767437,791315,429595,778513,440449,439062,886711,396177,426943,615559,604073,636556,461315,169220,634345,622260,615890,596608,559821,659238,296957,357930,79939,423406,637902,637864,608614,386304,646200,521975,423329,639864,827934,638181,475717,589148,613158,625183,359868,810189,598954,644757,597491,342669,623129,619200,397776,549646,124320,80149,276764,173852,600322,384317,151902,290041,269776,513980,646037,506989,632486,250823,821842,500143,578336,371319,606952,189524,650668,515803,601164,596791
Stuttgart,233117,0,632103,206191,512623,368494,602060,631806,655685,477165,826084,218201,460739,751080,339191,209149,410249,419024,427285,508886,210273,429036,437211,410581,476916,354511,474189,74708,135682,164362,214907,448793,412816,498390,433875,421379,510139,201081,434554,715043,432871,356025,404099,448077,419874,137620,629329,393645,526846,392181,120421,444117,413891,175528,429954,296346,237800,146851,214906,527175,212303,94798,53484,47527,394288,440728,284741,453474,38614,686211,277895,373026,381207,401643,227934,445358,330754,481472,481861
Berlin,584984,632143,0,549722,286429,579542,35433,406649,288832,189852,233686,727743,170110,355471,305131,578685,561725,492438,531356,193280,440147,548823,517060,527169,389041,600539,472010,673174,627280,587581,574340,517249,599111,235549,263492,638695,156759,805136,574691,283107,530588,380264,504763,463560,540402,629219,449108,555134,418773,543319,632074,508405,562760,578768,428012,498398,509743,492199,454174,227256,555902,617483,591890,662350,335595,524183,723146,508934,674896,461054,604542,559276,247703,535434,442950,553013,581372,280295,246989
Frankfurt+am+Main,392635,205643,551088,0,354471,190458,521045,446247,497533,396150,670724,185083,383884,592928,262136,43597,232213,224386,249248,466443,224148,250999,242573,232544,318764,176475,279551,137917,84252,361715,38901,258216,254518,340238,398690,262855,428811,269878,256518,556891,254835,197873,209461,253439,241837,86190,434691,215608,332208,214145,89045,243443,235854,35739,271802,324211,317394,119237,217662,369023,10348,290006,151930,159706,236136,262691,188928,252799,233813,528059,123742,194990,304152,223606,212822,267322,136116,323320,323709
Hannover,633059,512248,284998,350080,0,298884,254955,127491,151369,261979,324561,528102,221396,246765,248913,379044,281067,211780,250698,365921,464573,268165,236402,246512,108383,319881,191352,481304,427639,602405,374699,236591,318453,66019,352985,358037,147166,613266,294033,210727,249930,167814,224106,182902,259745,429577,170243,274476,138115,262661,432433,227747,282102,379127,147354,570843,557818,365867,458086,87685,356261,548889,472221,503094,123144,243525,482021,228276,555002,181896,397515,278619,320148,254776,447378,272356,300714,34662,69430
Cologne,575325,369053,572641,191024,291530,0,542598,315008,425125,497139,598316,258825,455662,509575,367014,180170,44438,93464,70913,571321,406838,72663,82405,54209,193339,28833,148313,301326,247661,522980,165981,92420,65848,353661,503567,86182,434808,433288,60862,484482,76499,241821,76118,122200,63501,249599,303453,37272,200969,35809,252346,87745,40198,200217,182956,506901,500084,301927,400352,375327,197981,453416,315339,323116,292292,84355,187380,97101,397223,378295,117643,17799,409030,45270,395512,75543,92201,331430,366198
Potsdam,555680,602839,35434,520418,257125,550238,0,365068,283796,160548,228650,698440,140807,350436,275827,549382,532422,463134,502052,202351,410844,519520,487757,497866,359738,571235,442707,643870,597977,558277,545037,487946,569808,206245,272563,609391,127456,775832,545387,278071,501284,350961,475460,434256,511099,599915,407820,525830,389469,514015,602770,479101,533456,549465,398708,469094,480439,462896,424871,197952,526599,588179,562586,633046,306291,494880,693842,479631,645592,419473,575238,529973,218399,506131,413647,523710,552068,250992,217686
Bremen,767540,631159,401366,441902,135651,321138,365066,0,122196,372089,295388,575720,331507,206647,367823,470866,297140,234034,262719,476031,583483,273541,241463,268766,182726,342136,172122,573126,519461,721316,466521,245211,323829,176129,463095,380291,257277,705088,299409,181554,260840,286724,246360,216887,271766,521399,50945,296730,121986,284915,524255,236158,302550,470949,263373,680954,692299,484778,576997,197795,448083,667799,591132,594916,242055,243485,504275,228898,673912,65418,419769,300873,430259,277031,566289,277731,322968,153572,188340
Hamburg,790853,654473,288378,492305,158965,430679,283499,125686,0,395403,184624,670327,354821,97845,391137,521269,406681,343576,372260,476438,606797,383082,351004,378307,247717,451677,281663,623529,569864,744630,516924,354752,433370,199443,486409,489832,280591,755491,408950,70791,370381,310038,355901,322235,381307,571802,168145,406272,231527,394456,574657,345699,412091,521352,286687,704268,715613,508092,600311,221109,498486,691113,614446,645318,265369,353026,613816,338439,697226,180090,529310,410414,453573,386572,589603,387272,432509,176886,211654
Leipzig,429889,477048,190147,394627,264767,503065,160104,372711,396589,0,384127,572649,44335,491985,160893,423591,485249,415619,450007,122336,285053,471576,435712,450693,367380,502180,453828,518079,472186,432486,419246,448474,509924,213888,85462,562218,127249,650041,485422,433548,461813,254486,428287,401717,459054,474124,415462,478657,397112,466842,476979,436331,486283,423674,338205,343303,354648,337105,299080,205595,400808,462388,436795,507255,227362,461814,568051,446565,519801,427115,449447,482800,92608,458958,287856,490644,432042,236971,202064
