id,path_distance,path_time,risk_factor,start,destination,x_waypoints,y_waypoints,x_ref_points,y_ref_points,sample_time,reward,map
26,2560.85,1024.34,0.01,"{765.0,565.0}","{765.0,565.0}","{765.0,670.0,655.0,440.0,190.0,240.0,75.0,765.0}","{565.0,340.0,235.0,50.0,360.0,470.0,290.0,565.0}",,,1,1.0,bigmap
27,2972.16,1188.86,0.01,"{50.0,25.0}","{50.0,25.0}","{50.0,480.0,555.0,340.0,250.0,220.0,60.0,50.0}","{25.0,400.0,140.0,155.0,40.0,560.0,690.0,25.0}",,,1,1.0,bigmap
28,2582.3,1032.92,0.01,"{50.0,25.0}","{50.0,25.0}","{50.0,590.0,655.0,555.0,290.0,220.0,140.0,50.0}","{25.0,670.0,235.0,140.0,290.0,360.0,90.0,25.0}",,,1,1.0,bigmap
29,2999.43,1199.77,0.01,"{50.0,25.0}","{50.0,25.0}","{50.0,590.0,670.0,290.0,250.0,90.0,60.0,50.0}","{25.0,350.0,340.0,290.0,40.0,580.0,690.0,25.0}",,,1,1.0,bigmap
30,2844.64,1137.86,0.01,"{50.0,25.0}","{50.0,25.0}","{50.0,550.0,435.0,220.0,340.0,110.0,660.0,50.0}","{25.0,260.0,210.0,360.0,460.0,240.0,90.0,25.0}",,,1,1.0,bigmap
31,2591.88,1036.75,0.01,"{50.0,25.0}","{50.0,25.0}","{50.0,680.0,540.0,480.0,560.0,660.0,40.0,50.0}","{25.0,680.0,440.0,340.0,100.0,90.0,140.0,25.0}",,,1,1.0,bigmap
32,2739.41,1095.76,0.01,"{50.0,25.0}","{50.0,25.0}","{50.0,510.0,420.0,540.0,560.0,125.0,100.0,50.0}","{25.0,580.0,645.0,440.0,100.0,180.0,350.0,25.0}",,,1,1.0,bigmap
33,3030.54,1212.22,0.01,"{50.0,25.0}","{50.0,25.0}","{50.0,670.0,660.0,340.0,190.0,90.0,60.0,50.0}","{25.0,340.0,90.0,155.0,360.0,580.0,690.0,25.0}",,,1,1.0,bigmap
34,2519.67,1007.87,0.01,"{50.0,25.0}","{50.0,25.0}","{50.0,590.0,520.0,655.0,340.0,275.0,40.0,50.0}","{25.0,670.0,350.0,235.0,155.0,390.0,140.0,25.0}",,,1,1.0,bigmap
35,2908.94,1163.58,0.01,"{50.0,25.0}","{50.0,25.0}","{50.0,390.0,340.0,200.0,190.0,760.0,560.0,50.0}","{25.0,240.0,155.0,230.0,360.0,650.0,100.0,25.0}",,,1,1.0,bigmap
